    |           Cycle 21           |           Cycle 21           |           Cycle 21           |           Cycle 21           |           Cycle 21
ZPC | Flares | Groups | Flare rate | Flares | Groups | Flare rate | Flares | Groups | Flare rate | Flares | Groups | Flare rate | Flares | Groups | Flare rate
EAI |    17  |     72 | 2.361E-01  |    70  |    436 | 1.606E-01  |    67  |    446 | 1.502E-01  |    15  |    133 | 1.128E-01  |    60  |    181 | 3.315E-01
EAC |     2  |      2 | 1.000E+00  |     3  |      8 | 3.750E-01  |    13  |     72 | 1.806E-01  |    24  |     99 | 2.424E-01  |    20  |     33 | 6.061E-01
EHO |     6  |     35 | 1.714E-01  |     7  |     70 | 1.000E-01  |     1  |     27 | 3.704E-02  |     2  |     37 | 5.405E-02  |     7  |     50 | 1.400E-01
EHI |     1  |     13 | 7.692E-02  |    11  |     52 | 2.115E-01  |     8  |     26 | 3.077E-01  |     1  |     36 | 2.778E-02  |     9  |     53 | 1.698E-01
EHC |     0  |      0 |    N/A     |     0  |      2 | 0.000E+00  |     0  |      4 | 0.000E+00  |    10  |     18 | 5.556E-01  |     9  |     18 | 5.000E-01
EKO |    32  |    120 | 2.667E-01  |    53  |    346 | 1.532E-01  |    22  |    154 | 1.429E-01  |     5  |     56 | 8.929E-02  |    18  |     83 | 2.169E-01
EKI |   116  |    192 | 6.042E-01  |   232  |    590 | 3.932E-01  |    75  |    321 | 2.336E-01  |    28  |    105 | 2.667E-01  |   117  |    200 | 5.850E-01
EKC |    33  |     20 | 1.650E+00  |   126  |    141 | 8.936E-01  |   120  |    230 | 5.217E-01  |   149  |    277 | 5.379E-01  |   326  |    274 | 1.190E+00
FRO |     0  |      0 |    N/A     |     0  |      1 | 0.000E+00  |     0  |      1 | 0.000E+00  |     0  |      0 |    N/A     |     0  |      0 |    N/A   
FRI |     0  |      0 |    N/A     |     0  |      3 | 0.000E+00  |     0  |      0 |    N/A     |     0  |      0 |    N/A     |     0  |      0 |    N/A   
FSO |     3  |      7 | 4.286E-01  |     2  |     49 | 4.082E-02  |     5  |     49 | 1.020E-01  |     1  |     17 | 5.882E-02  |     0  |      6 | 0.000E+00
FSI |     3  |      6 | 5.000E-01  |     4  |     19 | 2.105E-01  |     2  |     18 | 1.111E-01  |     0  |      8 | 0.000E+00  |     4  |      4 | 1.000E+00
FSC |     0  |      0 |    N/A     |     2  |      3 | 6.667E-01  |     0  |      3 | 0.000E+00  |     2  |      3 | 6.667E-01  |     0  |      0 |    N/A   
FAO |     3  |     26 | 1.154E-01  |    25  |    119 | 2.101E-01  |    20  |     98 | 2.041E-01  |     0  |      6 | 0.000E+00  |     1  |     12 | 8.333E-02
FAI |     4  |      7 | 5.714E-01  |    41  |    154 | 2.662E-01  |    29  |    142 | 2.042E-01  |     0  |     12 | 0.000E+00  |     7  |     11 | 6.364E-01
FAC |     8  |      2 | 4.000E+00  |     1  |      1 | 1.000E+00  |     8  |     31 | 2.581E-01  |     0  |      9 | 0.000E+00  |     3  |      7 | 4.286E-01
FHO |     3  |     10 | 3.000E-01  |     4  |     40 | 1.000E-01  |     2  |     17 | 1.176E-01  |     1  |      9 | 1.111E-01  |     1  |     17 | 5.882E-02
FHI |     2  |     11 | 1.818E-01  |    11  |     43 | 2.558E-01  |     3  |     10 | 3.000E-01  |     2  |      5 | 4.000E-01  |     1  |      4 | 2.500E-01
FHC |     0  |      0 |    N/A     |     1  |      2 | 5.000E-01  |    10  |     10 | 1.000E+00  |    12  |     13 | 9.231E-01  |     5  |      1 | 5.000E+00
FKO |    19  |     34 | 5.588E-01  |    56  |    183 | 3.060E-01  |    10  |     69 | 1.449E-01  |     3  |     26 | 1.154E-01  |     8  |     19 | 4.211E-01
FKI |    60  |     76 | 7.895E-01  |   200  |    370 | 5.405E-01  |    78  |    183 | 4.262E-01  |     5  |     16 | 3.125E-01  |    20  |     49 | 4.082E-01
FKC |   119  |     46 | 2.587E+00  |   200  |    162 | 1.235E+00  |   198  |    218 | 9.083E-01  |   143  |    147 | 9.728E-01  |   223  |    104 | 2.144E+00
HRX |     0  |     77 | 0.000E+00  |     0  |      4 | 0.000E+00  |     0  |    393 | 0.000E+00  |     5  |    333 | 1.502E-02  |     1  |    333 | 3.003E-03
HSX |     8  |    829 | 9.650E-03  |     0  |     17 | 0.000E+00  |    15  |   2865 | 5.236E-03  |    14  |   1715 | 8.163E-03  |    18  |   1854 | 9.709E-03
HAX |     4  |    230 | 1.739E-02  |     0  |      0 |    N/A     |    15  |    835 | 1.796E-02  |    11  |    536 | 2.052E-02  |    12  |    407 | 2.948E-02
HHX |     3  |    110 | 2.727E-02  |     0  |      0 |    N/A     |     1  |     92 | 1.087E-02  |     0  |     68 | 0.000E+00  |     0  |     50 | 0.000E+00
HKX |     3  |     64 | 4.688E-02  |     0  |      0 |    N/A     |     8  |     96 | 8.333E-02  |     3  |     41 | 7.317E-02  |     6  |     14 | 4.286E-01
